time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside
95.235,9546.58429999966,0.890252359998137,9548.35087112187,9549.59124682745,0.890252359998137,0.890252359998137,0,-51.5825357938508,23.0402600827242,5,0,9023.25834470759,-9317.81342080362,269.447541514106,37.5856351443831,1.21690303155514e-10,1,0.987234243844995,0
95.25,9545.81056196276,0.889738441171956,9547.57595816363,9548.81195897019,0.889738441171956,0.889738441171956,0,-51.4812427403345,23.0507664893719,5,0,9018.87016089714,-9312.82299032701,269.447541514106,37.5856351443831,1.35641808200081e-10,1,0.987154229814658,0
95.265,9545.03834332165,0.889228040838254,9546.80251566751,9548.03410941825,0.889228040838254,0.889228040838254,0,-51.378568223225,23.0611688594525,5,0,9014.50259378377,-9307.84542962091,269.447541514106,37.5856351443831,1.50952108884306e-10,1,0.987074372908535,0
95.28,9544.2676647983,0.888721167405646,9546.03056435192,9547.25771918724,0.888721167405646,0.888721167405646,0,-51.2745174859295,23.0714668986625,5,0,9010.15573627926,-9302.88086380152,269.447541514106,37.5856351443831,1.67721279472043e-10,1,0.986994675269533,0
95.295,9543.49854703602,0.888217829142614,9545.26012486128,9546.48280921667,0.888217829142614,0.888217829142614,0,-51.1690958153077,23.0816603175576,5,0,9005.82968040273,-9297.92941731563,269.447541514106,37.5856351443831,1.86054014922009e-10,1,0.986915139032423,0
95.31,9542.73101059879,0.88771803417781,9544.49121776527,9545.70940036927,0.88771803417781,0.88771803417781,0,-51.0623085411927,23.091748831566,5,0,9001.52451728057,-9292.99121393759,269.447541514106,37.5856351443831,2.06059366811362e-10,1,0.986835766323774,0
95.325,9541.96507597067,0.887221790499809,9543.72386355815,9544.93751343038,0.887221790499809,0.887221790499809,0,-50.9541610364823,23.1017321610232,5,0,8997.24033714251,-9288.06637676565,269.447541514106,37.5856351443831,2.27850215208657e-10,1,0.986756559261891,0
95.34,9541.20076355512,0.886729105957473,9542.958082658,9544.16716910723,0.886729105957473,0.886729105957473,0,-50.8446587165336,23.1116100311829,5,0,8992.97722932253,-9283.15502821927,269.447541514106,37.5856351443831,2.51543268637802e-10,1,0.986677519956741,0
95.355,9540.43809367437,0.886239988259827,9542.193895406,9543.39838802833,0.886239988259827,0.886239988259827,0,-50.7338070390898,23.1213821722457,5,0,8988.73528225623,-9278.25729003581,269.447541514106,37.5856351443831,2.77257347731359e-10,1,0.986598650509894,0
95.37,9539.67708656879,0.885754444975877,9541.43132206573,9542.63119074282,0.885754444975877,0.885754444975877,0,-50.6216115044073,23.1310483193909,5,0,8984.51458347678,-9273.37328326705,269.447541514106,37.5856351443831,3.05117873995507e-10,1,0.986519953014451,0
95.385,9538.91776239622,0.885272483534595,9540.67038282247,9541.86559771982,0.885272483534595,0.885272483534595,0,-50.5080776547871,23.1406082128007,5,0,8980.31521961478,-9268.50312827614,269.447541514106,37.5856351443831,3.3525119274822e-10,1,0.986441429554983,0
95.4,9538.1601412314,0.884794111224727,9539.91109778244,9541.10162934777,0.884794111224727,0.884794111224727,0,-50.3932110745882,23.1500615976918,5,0,8976.13727639506,-9263.64694473432,269.447541514106,37.5856351443831,3.67788005690276e-10,1,0.986363082207464,0
95.415,9537.40424306528,0.884319335194675,9539.15348697215,9540.33930593381,0.884319335194675,0.884319335194675,0,-50.2770173902554,23.1594082243428,5,0,8971.9808386334,-9258.80485161757,269.447541514106,37.5856351443831,4.028616545493e-10,1,0.986284913039204,0
