Kd,Ki,Kp,accelTau,accelWeight,accepted,altitude_m,candidate,compressor_Nc_outside_percent,environment,events_inside_1pct_throughout,fallback_percent,first_failure_eval_s,fuel_limit_percent,fuel_peak_lbm_s,gp_outside_percent,iae_rpm_s,isa_delta_C,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,minimum_margin_percent,mode,peak_rpm,phase,recovery_1pct_speed_s,ringing_excess_TV_lbm_s,rmse_rpm,settling_to_point1_rpm_s,wall_seconds,rmse_ratio,ringing_ratio,joint_score,beats_base_both
0,15,2,0.03,1,1,4000,11,0,36,6,0,NaN,0,2.02663168050949,0.549908348608565,122.336350784864,5,0.513533995565944,8.96758551765404,10.8302757632121,1,14.1433523477244,tune,0,1.60011522622843,3.36216622586954,Inf,24.8625536,1.32814934092588,0.788066884767839,1.32814934092588,0
0,20,2,0.03,1,1,4000,12,0,36,6,0,NaN,0,2.06760886759882,0.549908348608565,91.8268073946343,5,0.556091207868855,9.50052988793786,10.1306541158015,1,13.6398355204819,tune,0,2.07984166102006,2.59743307766868,Inf,27.1958247,1.02605843924702,1.02433519270597,1.02605843924702,0
0,15,0.5,0.03,1,1,4000,13,0,36,6,0,NaN,0,2.2330467609707,15.2974504249292,884.578501866178,5,0.72536062425578,2.22008380107299,7.60254759039221,2,59.637313476389,tune,0,4.83364261944514,16.1194726034393,Inf,27.5771378,6.3676408232296,2.38059960854556,6.3676408232296,0
0,30,0.5,0.03,1,1,4000,14,0,36,6,0,NaN,0,2.37909389096468,49.5917347108815,1564.65734802598,5,0.953639288969864,2.59466960580883,5.40208975862232,2,57.4817277668662,tune,0,7.45079113605843,21.9236610154736,Inf,27.9811346,8.66045697096761,3.66956183117475,8.66045697096761,0
0,15,1,0.03,1,1,4000,15,0,36,6,0,NaN,0,2.14634071598768,5.93234460923179,534.101710004778,5,0.601304163587364,4.14713648954083,8.96278468976853,2,44.8705898744483,tune,0,2.20892484099318,11.1919775856328,Inf,29.8380501,4.42114299395507,1.08790947651371,4.42114299395507,0
0,30,1,0.03,1,1,4000,16,0,36,6,0,NaN,0,2.18461600443817,8.6318946842193,494.844426423673,5,0.639547291992691,4.23728535452221,8.36640097001037,2,35.1316420425865,tune,0,3.90837295134782,9.30581571129175,Inf,30.0143358,3.67605649852525,1.92489843593292,3.67605649852525,0
0,15,2,0.03,1,1,4000,17,0,36,6,0,NaN,0,2.07574607974075,1.5164139310115,393.264127897013,5,0.542087066780953,8.36554837230502,10.1305200875787,2,35.9441596282832,tune,0,1.85129449118086,8.79886369743032,Inf,29.1868905,3.47579632759424,0.911774263839477,3.47579632759424,0
0,30,2,0.03,1,1,4000,18,0,36,6,0,NaN,0,2.09732669204506,1.34977503749375,290.985279573705,5,0.560491722212669,8.31456139519159,9.78430196645927,2,27.033821366982,tune,0,3.20285846620658,6.41161898082543,Inf,29.2958646,2.53276814755011,1.57742808295444,2.53276814755011,0
0,15,0.5,0.06,1,1,4000,19,0,36,6,0,NaN,0,2.22534094189303,13.4477587068822,776.957788661111,5,0.709832797040309,1.68221187839152,7.70622318920316,2,57.7531976680639,tune,0,4.62350360256297,15.0411431315849,Inf,27.0993308,5.94167063581748,2.27710481161593,5.94167063581748,0
0,30,0.5,0.06,1,1,4000,20,0,36,6,0,NaN,0,2.28821578776319,27.0454924179303,1033.48509607292,5,0.864237532878257,2.0743684620799,6.76280060571394,2,52.3325143289894,tune,0,6.95091092907346,15.9946074401615,Inf,27.5539384,6.31831560455483,3.42336766276834,6.31831560455483,0
0,15,1,0.06,1,1,4000,21,0,36,6,0,NaN,0,2.13867009169146,5.63239460089985,482.447866789228,5,0.593604733809188,3.03881490080968,9.0728812438355,2,44.2377685609827,tune,0,2.06280266130088,10.6845578378997,Inf,29.5583166,4.22069805511205,1.01594337741157,4.22069805511205,0
0,30,1,0.06,1,1,4000,22,0,36,6,0,NaN,0,2.17488682036684,6.58223629395101,384.91031887272,5,0.62981810792136,3.12264051955649,8.50249486780488,2,34.7674565226589,tune,0,3.57826440915589,8.22491245371758,Inf,33.9527273,3.24906959403914,1.76231788784725,3.24906959403914,0
0,15,2,0.06,1,1,4000,23,0,36,6,0,NaN,0,2.07020946407825,1.08315280786536,360.898914002897,5,0.533011462993495,5.87478951941276,10.2146423845357,2,34.719052417151,tune,0,1.38584783724229,8.41214857108158,Inf,33.2094395,3.32303307745085,0.682538838426042,3.32303307745085,0
0,30,2,0.06,1,1,4000,24,0,36,6,0,NaN,0,2.08911798796709,0.983169471754708,242.737030030157,5,0.544054497854662,5.88475578558136,9.90810523260959,2,25.5428774313059,tune,0,2.48275484457672,5.85853199860591,Inf,33.102789,2.31428337863612,1.22277248784115,2.31428337863612,0
0,15,0.5,0.1,1,1,4000,25,0,36,6,0,NaN,0,2.21882633503651,10.7648725212465,674.36768251168,5,0.697582211921507,1.35717038187558,7.78561551991907,2,56.6533660266068,tune,0,4.41919200580843,14.0510142010808,Inf,24.9494673,5.55054211981421,2.17648005601268,5.55054211981421,0
0,30,0.5,0.1,1,1,4000,26,0,36,6,0,NaN,0,2.29408440519508,17.3137810364939,730.350067174083,5,0.859554380151963,1.72289469056102,6.64389010337816,2,52.0217151189372,tune,0,6.58475909659805,13.0570725816027,Inf,26.407556,5.15790748543136,3.24303556590362,5.15790748543136,0
0,15,1,0.1,1,1,4000,27,0,36,6,0,NaN,0,2.13058294996266,5.24912514580903,428.61151317952,5,0.58551423751718,2.36748023291987,9.18490535376967,2,43.8008076369042,tune,0,1.99005938094096,10.1786974971426,Inf,28.0039292,4.02086912547505,0.980116851045617,4.02086912547505,0
0,30,1,0.1,1,1,4000,28,0,36,6,0,NaN,0,2.16746602236131,4.53257790368272,301.683033288426,5,0.622397309915831,2.49876389097855,8.59457887364065,2,35.2675836996732,tune,0,3.27879523973232,7.43018520817844,Inf,28.1325786,2.93513018817123,1.61482742493358,2.93513018817123,0
0,15,2,0.1,1,1,4000,29,0,36,6,0,NaN,0,2.06389624963297,1.16647225462423,326.080405726277,5,0.522777104734902,4.38489697034347,10.3093959829798,2,33.3474705060198,tune,0,0.972528370437068,8.00996212180385,Inf,27.8563839,3.16415822366537,0.478976382872861,3.16415822366537,0
0,30,2,0.1,1,1,4000,30,0,36,6,0,NaN,0,2.08075659242352,1.03316113981003,200.403855923764,5,0.535688282648253,4.45843994181883,10.0315384150477,2,25.0235772962078,tune,0,1.81108424641227,5.39158372113548,Inf,27.4200844,2.12982579822353,0.891970463581149,2.12982579822353,0
