accepted,rmse_rpm,peak_rpm,iae_rpm_s,minimum_margin_percent,fuel_peak_lbm_s,fuel_limit_percent,ringing_excess_TV_lbm_s,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,settling_to_point1_rpm_s,recovery_1pct_speed_s,events_inside_1pct_throughout,first_failure_eval_s,environment,altitude_m,isa_delta_C,method,Kp,Ki,reference_hp,load_hp,wall_seconds,compressor_Nc_outside_percent,inlet_temperature_K,inlet_pressure_kPa,gp_replay_error,gp_outside_percent
1,1.28902275746114,11.1586720150444,26.4576789362009,3.28552346284238,1.09868472524937,0,1.19185550709973,0.30407178949556,2.38804070138194,2.05500000000001,0,6,NaN,20,10000,20,BasePI,0.025,0.05,7495.65948897027,749.565948897027,3.3002147,0,243.251849591271,26.113108584684,0,0
1,1.69901524245228,6.87341693473536,108.72497114029,3.42776511251784,1.09413161150896,0,1.79097347695141,0.31246490718289,5.09281800122234,Inf,0,6,NaN,20,10000,20,InvGPR_PI_GPRFF,2,30,7495.65948897027,749.565948897027,24.0306829,0,243.251849591271,26.113108584684,3.78630460318163e-12,0
1,4.0069382074218,33.7859373987449,86.5909171309434,9.49753779512113,3.41222310560216,0,2.86629041663119,0.915235864715356,7.4080984695188,2.76000000000001,0,6,NaN,21,0,-20,BasePI,0.025,0.05,24347.1596241866,2434.71596241866,3.084932,0,268.144318948034,99.2913315901659,0,0
1,2.38192771300916,21.0938352401845,63.863173194902,8.87731064748964,3.48753041852013,0,6.38035781920104,1.03699308299773,17.0732632369237,3.645,0,6,NaN,21,0,-20,InvGPR_PI_GPRFF,2,30,24347.1596241866,2434.71596241866,22.5426796,0,268.144318948034,99.2913315901659,2.48423503990125e-12,0.599900016663889
1,3.45723840230433,29.6393639438538,72.1405120678929,5.30833474361358,2.94599684875957,0,2.95556956664063,0.807705455804143,6.38393175277372,2.55,0,6,NaN,22,2500,-20,BasePI,0.025,0.05,20318.6166886881,2031.86166886881,3.5745415,0,251.907844489376,73.4491842176651,0,0
1,3.06036973960962,18.6496802639922,128.735231156394,5.35254172251075,2.94350892434184,0,5.15008214720406,0.877294192423753,15.0155435311751,Inf,0,6,NaN,22,2500,-20,InvGPR_PI_GPRFF,2,30,20318.6166886881,2031.86166886881,24.0649405,0,251.907844489376,73.4491842176651,4.46265246978328e-12,0.649891684719213
1,2.70518409485469,23.7815692199038,55.2755133998796,1.76753121542134,2.30854923196264,0,2.55274840187604,0.644608003086446,5.06393372701308,2.355,0,6,NaN,23,5000,-20,BasePI,0.025,0.05,15742.2175426381,1574.22175426381,3.4961222,97.6003999333444,235.676790500056,53.1431818867567,0,0
1,3.9520371672338,14.4571109266508,279.888182496822,1.85650684616662,2.30298827352661,0,3.72170655927999,0.654434295140014,10.5852328240629,Inf,0,6,NaN,23,5000,-20,InvGPR_PI_GPRFF,2,30,15742.2175426381,1574.22175426381,23.5554347,83.8526912181303,235.676790500056,53.1431818867567,4.71200856111409e-12,0.549908348608565
1,1.75608484462035,15.7000523086681,35.3188638749944,2.34787861521619,1.52379483377015,0,1.83974738547174,0.419369986219898,3.43274353438212,2.16,0,6,NaN,24,7500,-20,BasePI,0.025,0.05,10737.5030251394,1073.75030251394,2.8878219,100,219.45577413952,37.5898074200669,0,0
1,14.1091379727308,30.2218724104678,978.914834991995,2.71489501468966,1.50675003217728,0,2.29648187799959,0.412999196275647,6.54391568244995,Inf,0,6,NaN,24,7500,-20,InvGPR_PI_GPRFF,2,30,10737.5030251394,1073.75030251394,23.9393509,100,219.45577413952,37.5898074200669,2.42850184406507e-12,0.349941676387269
1,1.11084131657647,10.123591385809,22.2488908408017,3.11853709417147,0.977491499912742,0,1.25092312802738,0.266700690906331,2.25267286974336,1.965,0,6,NaN,25,10000,-20,BasePI,0.025,0.05,7172.2140899669,717.22140899669,3.7244793,100,203.251854886862,26.113108584684,0,0
1,6.85351301841123,12.9292828822527,492.270749616748,3.53825945848305,0.964968613405393,0,1.51831350826552,0.262671689534382,4.25146932279247,Inf,0,6,NaN,25,10000,-20,InvGPR_PI_GPRFF,2,30,7172.2140899669,717.22140899669,21.8387731,100,203.251854886862,26.113108584684,2.59559040927115e-12,0
1,2.00263808874618,17.5160914435364,42.1954666258582,21.6272203802022,1.59650740183906,0,1.73040817393749,0.467216792697707,3.91928296920669,2.37,0,6,NaN,26,0,30,BasePI,0.025,0.05,12977.0232518362,1297.70232518362,3.6410308,0,318.150000142384,99.2988461167942,0,0
1,1.37615820522354,11.1739590086727,41.5824965343096,21.0693395970731,1.62580934360983,0,3.20404667334457,0.504386388854903,8.24232684187732,3.94500000000001,0,6,NaN,26,0,30,InvGPR_PI_GPRFF,2,30,12977.0232518362,1297.70232518362,25.0285001,0,318.150000142384,99.2988461167942,5.18052267750591e-12,100
1,1.93503342792537,16.8484750101125,40.5360909905386,17.7117097471383,1.56182986840216,0,1.65025805637811,0.450936724865858,3.72820886844802,2.325,0,6,NaN,27,2500,30,BasePI,0.025,0.05,11986.0249152109,1198.60249152109,3.5401681,0,301.907846138181,73.4491842176651,0,0
1,1.45547944569548,10.4877627297719,50.6439921298259,17.3246318303471,1.58299461491264,0,2.95475907418365,0.484493818998272,7.90638754805529,Inf,0,6,NaN,27,2500,30,InvGPR_PI_GPRFF,2,30,11986.0249152109,1198.60249152109,24.7460377,0,301.907846138181,73.4491842176651,2.28106422639485e-12,0.399933344442593
1,1.74711624639171,15.1534214473668,36.5793925705073,14.4309180214029,1.4361864645317,0,1.48781465461012,0.407507755341986,3.30524249119346,2.265,0,6,NaN,28,5000,30,BasePI,0.025,0.05,10582.7375987667,1058.27375987667,3.8536328,0,285.676811982466,53.1431818867567,0,0
