source_id,source_row,time_s,speed_rpm,fuel_lbm_s,acceleration_rpm_s
1,3149,47.22,9009.6518013027,0.587478562858036,-329.29532291639
1,2353,35.28,9534.29004222323,1.11523370895812,-572.751985048955
1,2887,43.29,9788.01178764118,1.28396402576987,-828.7949003213
1,2763,41.43,9138.5291459124,2.18857522114371,620.096048585426
1,3171,47.55,9029.76988004601,1.76215021022031,485.377011635403
1,2693,40.38,9200.09168448999,0.472713675105094,-665.279652979261
2,2358,35.355,9137.79029708197,1.3480908916038,100.133817284369
1,2673,40.08,9425.74949037232,0.643523298464178,-812.191155362291
1,2025,30.36,9013.45670363666,1.11536017821681,80.9702988323615
1,3104,46.545,9628.33413092201,0.617910597408285,-1123.23012504249
1,2898,43.455,9641.28839731514,0.838274234819079,-956.023185381762
2,5131,76.95,9856.22206629929,2.41812228581203,-151.129257982972
1,2891,43.35,9737.12683796478,1.1154789811305,-878.555557286007
1,2435,36.51,9000.66021221983,0.84603850543194,-102.541487151416
1,3034,45.495,9807.06640739882,4.18895311006876,879.534127090815
1,3116,46.725,9422.01953252096,0.265028410124126,-1146.68251065142
1,3141,47.1,9068.33042272523,0.356208220675563,-609.554994901358
1,2471,37.05,9056.41387560947,1.53549237032943,317.036932094972
1,2534,37.995,9597.87147809124,3.24325365471258,677.910053888132
2,5096,76.425,9935.87400745687,2.6105439523658,-146.302744027973
1,3020,45.285,9601.47653430211,4.03337062233311,1045.01818487927
2,2502,37.515,9353.62446687295,1.73021528557254,99.8883546954951
2,5470,82.035,9092.04292600564,1.05757011774683,-51.5528206125402
1,3005,45.06,9363.4295037495,3.45335478893889,1019.09700285714
1,2639,39.57,9811.86435855447,1.5885787383027,-636.999413908534
2,2552,38.265,9428.54587387125,1.86943257296121,99.901832919548
1,2290,34.335,9949.67261493185,2.48680298290041,-243.799615461471
1,2828,42.405,9908.81982931605,3.80333602231307,559.196345580286
2,5069,76.02,9999.82887287741,2.92348857065949,-46.6694720191208
2,5467,81.99,9097.72346539251,0.933670590857631,-150.386502695779
1,2646,39.675,9741.60778381575,1.3519757528797,-706.450246863281
1,3009,45.12,9425.49092321279,3.65696461232801,1056.30971635807
1,3075,46.11,9987.83666179421,2.25901338449965,-444.605654963263
1,3098,46.455,9725.6210062623,0.887282031864169,-1043.99267231613
1,3026,45.375,9693.62505786463,4.14889378250257,990.017038505822
1,2572,38.565,9927.42324868755,3.54403791979375,396.608488593955
2,2400,35.985,9200.79796671521,1.45616380307323,99.9427622935988
1,3078,46.155,9966.50280879376,2.07392194879587,-532.027901841255
2,2705,40.56,9657.21268755703,2.35835941430961,99.7825288382425
1,2682,40.215,9318.81532029919,0.540524596750943,-760.048200825704
2,3787,56.79,9290.57570471453,1.54086604301594,50.0159039111767
2,4093,61.38,9519.8238231034,1.96983704533989,49.7517590870388
1,3133,46.98,9158.70611368341,0.213674085881254,-854.996636749632
1,2069,31.02,9116.91275716851,1.51032629754894,236.024226445974
1,2994,44.895,9209.52974607884,2.78132080970074,850.827136781874
1,3102,46.515,9661.57451697098,0.701257987479434,-1102.42224569836
1,2330,34.935,9721.88112468344,1.58138455572726,-503.931228521379
1,2376,35.625,9335.36685564146,0.799893265501363,-557.528753152549
