s,up,down
2.12,1.589568,0.316681156452647
2.13,1.59695075,0.313256434167093
2.14,1.604314,0.309852893127391
2.15,1.61165625,0.306470649606154
2.16,1.618976,0.303109815358405
2.17,1.62627175,0.299770497648138
2.18,1.633542,0.296452799275739
2.19,1.64078525,0.293156818606234
2.2,1.648,0.289882649598354
2.21,1.65518475,0.286630381834405
2.22,1.662338,0.28340010055091
2.23,1.66945825,0.280191886670019
2.24,1.676544,0.277005816831665
2.25,1.68359375,0.273841963426436
2.26,1.690606,0.27070039462917
2.27,1.69757925,0.267581174433227
2.28,1.704512,0.264484362685436
2.29,1.71140275,0.2614100151217
2.3,1.71825,0.258358183403229
2.31,1.72505225,0.255328915153389
2.32,1.731808,0.252322253995156
2.33,1.73851575,0.24933823958914
2.34,1.745174,0.246376907672177
2.35,1.75178125,0.243438290096461
2.36,1.758336,0.240522414869195
2.37,1.76483675,0.237629306192762
2.38,1.771282,0.234758984505365
2.39,1.77767025,0.231911466522151
2.4,1.784,0.229086765276777
2.41,1.79026975,0.226284890163418
2.42,1.796478,0.22350584697918
2.43,1.80262325,0.220749637966914
2.44,1.808704,0.218016261858413
2.45,1.81471875,0.215305713917966
2.46,1.820666,0.212617985986252
2.47,1.82654425,0.209953066524569
2.48,1.832352,0.207310940659361
2.49,1.83808775,0.204691590227046
2.5,1.84375,0.202094993819108
2.51,1.84933725,0.199521126827451
2.52,1.854848,0.196969961489992
2.53,1.86028075,0.194441466936473
2.54,1.865634,0.191935609234482
2.55,1.87090625,0.189452351435659
2.56,1.876096,0.186991653622079
2.57,1.88120175,0.184553472952788
2.58,1.886222,0.182137763710478
2.59,1.89115525,0.179744477348286
2.6,1.896,0.177373562536705
2.61,1.90075475,0.175024965210579
2.62,1.905418,0.172698628616183
2.63,1.90998825,0.170394493358359
2.64,1.914464,0.168112497447696
2.65,1.91884375,0.16585257634775
2.66,1.923126,0.163614663022268
2.67,1.92730925,0.161398687982425
2.68,1.931392,0.15920457933404
2.69,1.93537275,0.157032262824767
2.7,1.93925,0.154881661891248
2.71,1.94302225,0.152752697706207
2.72,1.946688,0.150645289225477
2.73,1.95024575,0.148559353234947
2.74,1.953694,0.146494804397409
2.75,1.95703125,0.144451555299301
2.76,1.960256,0.142429516497329
2.77,1.96336675,0.140428596564953
2.78,1.966362,0.13844870213873
2.79,1.96924025,0.136489737964495
2.8,1.972,0.134551606943381
2.81,1.97463975,0.132634210177645
2.82,1.977158,0.130737447016313
2.83,1.97955325,0.128861215100617
2.84,1.981824,0.127005410409211
2.85,1.98396875,0.125169927303173
2.86,1.985986,0.123354658570761
2.87,1.98787425,0.12155949547193
2.88,1.989632,0.119784327782585
2.89,1.99125775,0.118029043838579
2.9,1.99275,0.11629353057942
2.91,1.99410725,0.114577673591711
2.92,1.995328,0.11288135715228
2.93,1.99641075,0.111204464271017
2.94,1.997354,0.1095468767334
2.95,1.99815625,0.10790847514269
2.96,1.998816,0.106289138961817
2.97,1.99933175,0.104688746554909
2.98,1.999702,0.103107175228498
2.99,1.99992525,0.101544301272359
3,2,0.1
3.01,2,0.0984741457887857
3.02,2,0.0969666121196882
3.03,2,0.0954772716166611
3.04,2,0.094005996085628
3.05,2,0.0925526565530829
3.06,2,0.0911171233042919
3.07,2,0.0896992659210962
3.08,2,0.0882989533193063
3.09,2,0.0869160537856856
3.1,2,0.0855504350145161
3.11,2,0.084201964143744
3.12,2,0.0828705077906982
3.13,2,0.0815559320873803
3.14,2,0.0802581027153191
3.15,2,0.0789768849399886
3.16,2,0.0777121436447843
3.17,2,0.0764637433645551
3.18,2,0.0752315483186872
3.19,2,0.0740154224437377
3.2,2,0.0728152294256151
3.21,2,0.0716308327313036
3.22,2,0.0704620956401295
3.23,2,0.0693088812745676
3.24,2,0.0681710526305853
3.25,2,0.0670484726075235
3.26,2,0.0659410040375109
3.27,2,0.0648485097144138
3.28,2,0.063770852422316
3.29,2,0.0627078949635318
3.3,2,0.0616595001861482
3.31,2,0.0606255310110984
3.32,2,0.0596058504587637
3.33,2,0.0586003216751055
3.34,2,0.0576088079573266
3.35,2,0.0566311727790609
3.36,2,0.0556672798150948
3.37,2,0.0547169929656159
3.38,2,0.0537801763799952
3.39,2,0.052856694480099
3.4,2,0.0519464119831334
3.41,2,0.0510491939240227
3.42,2,0.0501649056773223
3.43,2,0.0492934129786666
3.44,2,0.0484345819457561
3.45,2,0.0475882790988817
3.46,2,0.0467543713809912
3.47,2,0.0459327261772979
3.48,2,0.0451232113344337
3.49,2,0.0443256951791499
3.5,2,0.0435400465365664
3.51,2,0.0427661347479728
3.52,2,0.042003829688183
3.53,2,0.0412530017824481
3.54,2,0.0405135220229264
3.55,2,0.0397852619847175
3.56,2,0.0390680938414609
3.57,2,0.0383618903805027
3.58,2,0.037666525017634
3.59,2,0.0369818718114038
3.6,2,0.0363078054770101
3.61,2,0.0356442013997722
3.62,2,0.0349909356481875
3.63,2,0.034347884986578
3.64,2,0.0337149268873277
3.65,2,0.0330919395427164
3.66,2,0.0324788018763537
3.67,2,0.031875393554216
3.68,2,0.0312815949952915
3.69,2,0.0306972873818367
3.7,2,0.0301223526692484
3.71,2,0.0295566735955568
3.72,2,0.0290001336905407
3.73,2,0.0284526172844728
3.74,2,0.0279140095164972
3.75,2,0.0273841963426436
3.76,2,0.0268630645434833
3.77,2,0.0263505017314313
3.78,2,0.0258463963576984
3.79,2,0.0253506377188989
3.8,2,0.024863115963317
3.81,2,0.0243837220968383
3.82,2,0.0239123479885495
3.83,2,0.0234488863760118
3.84,2,0.0229932308702122
3.85,2,0.0225452759601982
3.86,2,0.0221049170173995
3.87,2,0.0216720502996424
3.88,2,0.0212465729548616
3.89,2,0.0208283830245132
3.9,2,0.0204173794466953
3.91,2,0.0200134620589794
3.92,2,0.0196165316009586
3.93,2,0.0192264897165168
3.94,2,0.018843238955824
3.95,2,0.0184666827770624
3.96,2,0.0180967255478879
3.97,2,0.0177332725466327
3.98,2,0.0173762299632527
3.99,2,0.017025504900025
4,2,0.0166810053720006
