time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside,VR_integrator_error,VR_proportional_term,VR_speed_slope,VR_accel_slope,VR_fallback,altitude_m,isa_delta_C
132.81,9974.73658853937,1.18434272155996,9975,9974.73678520216,1.03034872454825,1.18434272155996,0,-0.00340012303306474,12.0971756681883,12,0,10948.4893923842,-10948.5096791062,1.18434272155996,1.34620640247367,1.34597854816078,0.000227854312890186,-0.00339629882324413,-0.168450843457366,1.18434272155996,1,252.81981451672,35.7173940197735,5.95639710129449e-10,1,1.06489109051578,1,0.263214797840192,0.00658716254365128,0.000863503779552248,5.39171915182791e-05,1,7865,15.73
132.825,9974.73653753753,1.18479358433592,9975,9974.73673423454,1.03054742991515,1.18479358433592,0,-0.00340069077812234,12.0969515622577,12,0,10952.4269002293,-10952.4471903387,1.18479358433592,1.34626116764857,1.34603366572767,0.000227501920901707,-0.00339690573386819,-0.168056021260605,1.18479358433592,1,252.831018221149,35.72945351127,5.99771687538838e-10,1,1.06486749054276,1,0.263265765459437,0.00658843794795366,0.000862001132848682,5.39350931791661e-05,1,7862.5,15.725
132.84,9974.73648652717,1.1852444810271,9975,9974.73668325805,1.030746173733,1.1852444810271,0,-0.00340125247607981,12.096727475684,12,0,10956.3645634835,-10956.3848569442,1.1852444810271,1.34631589007781,1.34608874041056,0.000227149667253457,-0.00339750649936602,-0.167661122612416,1.1852444810271,1,252.842221925578,35.7415130027665,6.03927876509004e-10,1,1.06484389213733,1,0.263316741948074,0.00658971356170059,0.000860499565747899,5.39529970156711e-05,1,7860,15.72
132.855,9974.73643550838,1.18569541163427,9975,9974.73663227278,1.03094495600618,1.18569541163427,0,-0.00340180796655352,12.0965034084293,12,0,10960.3023821429,-10960.3226789177,1.18569541163427,1.34637056975094,1.34614377219879,0.000226797552141722,-0.00339810119964895,-0.167266147499494,1.18569541163427,1,252.853425630004,35.753572494263,6.08108145461292e-10,1,1.06482029529935,1,0.263367727216973,0.00659098938282363,0.000858999078724578,5.39709030007895e-05,1,7857.5,15.715
132.87,9974.73638448126,1.18614637615774,9975,9974.73658127883,1.03114377673887,1.18614637615774,0,-0.00340235745277327,12.0962793604692,12,0,10964.2403562007,-10964.260656254,1.18614637615774,1.34642520665764,1.3461987610819,0.000226445575738365,-0.00339868974004235,-0.166871095908669,1.18614637615774,1,252.864629334428,35.7656319857595,6.12313547057816e-10,1,1.06479670002863,1,0.263418721171547,0.00659226540876876,0.00085749967224792,5.39888111074655e-05,1,7855,15.71
132.885,9974.7363334459,1.18659737459836,9975,9974.73653027628,1.03134263593533,1.18659737459836,0,-0.00340290078911999,12.0960553317645,12,0,10968.178485653,-10968.198788948,1.18659737459836,1.34647980078779,1.34625370704958,0.000226093738209032,-0.00339927220626645,-0.166475967826911,1.18659737459836,1,252.875833038851,35.777691477256,6.16543160226143e-10,1,1.06477310632503,1,0.263469723722665,0.00659354163747915,0.000856001346783561,5.40067213086051e-05,1,7852.5,15.705
132.9,9974.73628240239,1.18704840695645,9975,9974.73647926522,1.0315415335996,1.18704840695645,0,-0.00340343809602615,12.0958313222901,12,0,10972.1167704937,-10972.1370769943,1.18704840695645,1.34653435213137,1.34630861009162,0.000225742039753563,-0.0033998485071699,-0.166080763241327,1.18704840695645,1,252.887036743272,35.7897509687525,6.20797248134565e-10,1,1.06474951418837,1,0.263520734775739,0.00659481806640781,0.000854504102794691,5.40246335770628e-05,1,7850,15.7
132.915,9974.73623135081,1.18749947323284,9975,9974.73642824576,1.03174046973579,1.18749947323284,0,-0.00340396931356502,12.0956073320076,12,0,10976.0552107181,-10976.0755203881,1.18749947323284,1.3465888606785,1.346363470198,0.000225390480498966,-0.00340041873060991,-0.165685482139164,1.18749947323284,1,252.898240447692,35.801810460249,6.25076600280759e-10,1,1.06472592361849,1,0.263571754241639,0.00659609469350219,0.000853007940740473,5.40425478856535e-05,1,7847.5,15.695
132.93,9974.73618029127,1.18795057342797,9975,9974.73637721797,1.03193944434787,1.18795057342797,0,-0.00340449452569193,12.0953833608889,12,0,10979.9938063206,-10980.0141191242,1.18795057342797,1.34664332641941,1.34641828735879,0.000225039060625765,-0.00340098283444571,-0.165290124507801,1.18795057342797,1,252.90944415211,35.8138699517455,6.29380558756841e-10,1,1.06470233461523,1,0.263622782027596,0.0065973715163588,0.000851512861077494,5.40604642071439e-05,1,7845,15.69
132.945,9974.73612922386,1.18840170754251,9975,9974.73632618196,1.03213845743975,1.18840170754251,0,-0.00340501365916309,12.0951594088998,12,0,10983.9325572964,-10983.9528731973,1.18840170754251,1.34669774934452,1.34647306156419,0.000224687780324917,-0.00340154084083207,-0.16489469033476,1.18840170754251,1,252.920647856526,35.825929443242,6.33709649895894e-10,1,1.06467874717842,1,0.263673818042662,0.00659864853274821,0.000850018864257608,5.40783825142575e-05,1,7842.5,15.685
